B_T,Rxy_he2
3.039277452235093491e-01,5.345577517258713607e-02
3.165578172012520342e-01,5.388755737795715428e-02
3.291878891789947192e-01,5.438438451467955681e-02
3.418179611567374598e-01,5.494801746588856561e-02
3.544480331344801449e-01,5.558021711471840265e-02
3.670781051122229410e-01,5.628274434430330375e-02
3.797081770899656261e-01,5.705736003777749088e-02
3.923382490677083112e-01,5.790582507827517905e-02
4.049683210454509963e-01,5.882990034893061104e-02
4.175983930231937369e-01,5.983134673287800187e-02
4.302284650009364775e-01,6.091192511325158043e-02
4.428585369786791071e-01,6.207339637318557563e-02
4.554886089564219032e-01,6.331752139581421635e-02
4.681186809341645882e-01,6.464606106427170373e-02
4.807487529119073288e-01,6.606077626169228056e-02
4.933788248896500139e-01,6.756342787121019655e-02
5.060088968673926990e-01,6.915577677595963202e-02
5.186389688451354951e-01,7.083958385907486444e-02
5.312690408228780692e-01,7.261661000369003249e-02
5.438991128006208653e-01,7.448861609293948305e-02
5.565291847783635504e-01,7.645736300995732704e-02
5.691592567561063465e-01,7.852461163787785581e-02
5.817893287338490316e-01,8.069212285983527744e-02
5.944194007115917167e-01,8.296165755896384164e-02
6.070494726893345128e-01,8.533497661839774262e-02
6.196795446670770868e-01,8.781384092127118846e-02
6.323096166448198829e-01,9.040001135071847049e-02
6.449396886225625680e-01,9.309524878987375518e-02
6.575697606003052531e-01,9.590131412187129223e-02
6.701998325780480492e-01,9.881996822984530360e-02
6.828299045557907343e-01,1.018529719969300112e-01
6.954599765335334194e-01,1.050020863062596649e-01
7.080900485112761045e-01,1.082690720409684448e-01
7.207201204890189006e-01,1.116556900841906147e-01
7.333501924667615857e-01,1.151637013190603964e-01
7.459802644445042707e-01,1.187948666287119981e-01
7.586103364222469558e-01,1.225509468962796417e-01
7.712404083999896409e-01,1.264337030048975630e-01
7.838704803777324370e-01,1.304448958376999979e-01
7.965005523554751221e-01,1.345862862778211821e-01
8.091306243332179182e-01,1.388596352083953378e-01
8.217606963109606033e-01,1.432667035125566313e-01
8.343907682887032884e-01,1.478092520734393400e-01
8.470208402664459735e-01,1.524890417741776860e-01
8.596509122441886586e-01,1.573078334979059190e-01
8.722809842219314547e-01,1.622673881277582331e-01
8.849110561996740287e-01,1.673694665468687670e-01
8.975411281774168248e-01,1.726158296383719370e-01
9.101712001551596209e-01,1.780082382854018819e-01
9.228012721329023060e-01,1.835484533710927402e-01
9.354313441106448801e-01,1.892382357785787894e-01
9.480614160883876762e-01,1.950793463909943626e-01
9.606914880661304723e-01,2.010735460914736261e-01
9.733215600438730464e-01,2.072225957631506632e-01
9.859516320216158425e-01,2.135282562891599456e-01
9.985817039993586386e-01,2.199922885526355010e-01
1.011211775977101324e+00,2.294648275311470531e-01
1.023841847954843898e+00,2.500000000000000000e-01
1.036471919932586694e+00,2.500000000000000000e-01
1.049101991910329490e+00,2.530083768677238720e-01
1.061732063888072064e+00,2.920758360708849422e-01
1.074362135865814860e+00,2.946042673737043760e-01
1.086992207843557434e+00,2.967028474124941972e-01
1.099622279821300230e+00,2.984168227535378137e-01
1.112252351799042804e+00,2.997914399631183002e-01
1.124882423776785600e+00,3.008719456075190091e-01
1.137512495754528397e+00,3.017035862530231261e-01
1.150142567732270971e+00,3.023316084659138370e-01
1.162772639710013767e+00,3.028012588124743831e-01
1.175402711687756563e+00,3.031577838589880058e-01
1.188032783665499359e+00,3.034464301717380019e-01
1.200662855643241933e+00,3.037124443170074461e-01
1.213292927620984729e+00,3.040010728610796353e-01
1.225922999598727525e+00,3.043575623702378663e-01
1.238553071576470099e+00,3.048271594107652138e-01
1.251183143554212895e+00,3.054551105489450857e-01
1.263813215531955469e+00,3.062866623510605013e-01
1.276443287509698266e+00,3.073670613833948684e-01
1.289073359487440840e+00,3.087415542122313172e-01
1.301703431465183636e+00,3.104553874038530892e-01
1.314333503442926432e+00,3.125578994916287656e-01
1.326963575420669006e+00,3.206744370861158711e-01
1.339593647398411802e+00,3.311775236211677576e-01
1.352223719376154376e+00,3.333333333333333148e-01
1.364853791353897172e+00,3.333333333333333148e-01
1.377483863331639746e+00,3.333333333333333148e-01
1.390113935309382542e+00,3.333333333333333148e-01
1.402744007287125338e+00,3.333333333333333148e-01
1.415374079264868135e+00,3.373361853373933461e-01
1.428004151242610931e+00,3.771354155701227007e-01
1.440634223220353505e+00,4.144487421996747578e-01
1.453264295198096301e+00,4.189951874379257424e-01
1.465894367175838875e+00,4.217244522327011080e-01
1.478524439153581671e+00,4.242018663706534909e-01
1.491154511131324467e+00,4.264417321434804120e-01
1.503784583109067041e+00,4.284583518428795590e-01
1.516414655086809837e+00,4.302660277605484529e-01
1.529044727064552411e+00,4.318790621881848368e-01
1.541674799042295207e+00,4.333117574174861764e-01
1.554304871020037782e+00,4.345784157401502146e-01
1.566934942997780578e+00,4.356933394478745836e-01
1.579565014975523374e+00,4.366708308323568044e-01
1.592195086953265948e+00,4.375251921852945647e-01
1.604825158931008744e+00,4.382707257983854410e-01
1.617455230908751318e+00,4.389217339633270099e-01
1.630085302886494114e+00,4.394925189718169589e-01
1.642715374864236910e+00,4.399973831155529203e-01
1.655345446841979706e+00,4.404506286862324149e-01
1.667975518819722502e+00,4.408665579755531860e-01
1.680605590797465076e+00,4.412594732752128102e-01
1.693235662775207873e+00,4.416436768769087529e-01
1.705865734752950447e+00,4.420334710723388683e-01
1.718495806730693243e+00,4.424431581532006774e-01
1.731125878708435817e+00,4.428870404111917569e-01
1.743755950686178391e+00,4.433794201380096833e-01
1.756386022663921409e+00,4.439345996253521998e-01
1.769016094641663983e+00,4.445668811649168828e-01
1.781646166619407001e+00,4.452905670484012535e-01
1.794276238597149575e+00,4.461199595675030549e-01
1.806906310574892149e+00,4.470693610139198637e-01
1.819536382552634723e+00,4.481530736793492009e-01
1.832166454530377520e+00,4.493853998554888096e-01
1.844796526508120316e+00,4.507806418340363219e-01
1.857426598485863112e+00,4.523531019066893144e-01
1.870056670463605908e+00,4.541170823651453636e-01
1.882686742441348704e+00,4.560868855011020462e-01
1.895316814419091278e+00,4.582768136062571607e-01
1.907946886396833852e+00,4.622990302109041272e-01
1.920576958374576426e+00,4.690886803884555811e-01
1.933207030352319444e+00,4.773720736178879154e-01
1.945837102330062018e+00,4.858743832209874158e-01
1.958467174307804592e+00,4.933207825195413676e-01
1.971097246285547611e+00,4.984364448353363897e-01
1.983727318263290185e+00,5.000000000000000000e-01
1.996357390241032759e+00,5.000000000000000000e-01
2.008987462218775555e+00,5.000000000000000000e-01
2.021617534196518573e+00,5.000000000000000000e-01
2.034247606174261147e+00,5.000000000000000000e-01
2.046877678152003721e+00,5.000000000000000000e-01
2.059507750129746739e+00,5.000000000000000000e-01
2.072137822107489313e+00,5.000000000000000000e-01
2.084767894085231887e+00,5.000000000000000000e-01
2.097397966062974461e+00,5.000000000000000000e-01
2.110028038040717480e+00,5.000000000000000000e-01
2.122658110018460054e+00,5.000000000000000000e-01
2.135288181996202628e+00,5.000000000000000000e-01
2.147918253973945646e+00,5.000000000000000000e-01
2.160548325951688220e+00,5.006485416259603971e-01
2.173178397929430794e+00,5.053095315949391875e-01
2.185808469907173368e+00,5.132449002220866863e-01
2.198438541884916386e+00,5.230016410982797348e-01
2.211068613862658960e+00,5.331267478143945082e-01
2.223698685840401534e+00,5.421672139613081809e-01
2.236328757818144553e+00,5.486700331298973721e-01
2.248958829795887127e+00,5.521194137567024818e-01
2.261588901773629701e+00,5.547695750296322004e-01
2.274218973751372275e+00,5.569271345167875475e-01
2.286849045729115293e+00,5.587061099569409217e-01
2.299479117706857867e+00,5.602205190888651654e-01
2.312109189684600441e+00,5.615843796513332320e-01
2.324739261662343459e+00,5.629117093831176311e-01
2.337369333640086033e+00,5.643165260229914271e-01
2.349999405617828607e+00,5.659128473097272405e-01
2.362629477595571181e+00,5.678146909820978028e-01
2.375259549573314199e+00,5.701360747788761785e-01
2.387889621551056774e+00,5.729910164388348770e-01
2.400519693528799348e+00,5.770757370594991054e-01
2.413149765506542366e+00,5.859281548050701005e-01
2.425779837484284940e+00,5.954726330398539824e-01
2.438409909462027958e+00,5.999993886748991034e-01
2.451039981439770532e+00,5.999999999999999778e-01
2.463670053417513550e+00,5.999999999999999778e-01
2.476300125395256124e+00,5.999999999999999778e-01
2.488930197372998698e+00,5.999999999999999778e-01
2.501560269350741716e+00,5.999999999999999778e-01
2.514190341328484291e+00,5.999999999999999778e-01
2.526820413306226865e+00,6.004808481377019724e-01
2.539450485283969439e+00,6.194839996501576573e-01
2.552080557261712457e+00,6.508100425785018350e-01
2.564710629239455031e+00,6.732610434675997402e-01
2.577340701217197605e+00,6.770279154658195298e-01
2.589970773194940623e+00,6.794937475928903847e-01
2.602600845172683197e+00,6.817067323113491506e-01
2.615230917150425771e+00,6.836829198818328290e-01
2.627860989128168345e+00,6.854383605649788658e-01
2.640491061105911363e+00,6.869891046214241515e-01
2.653121133083653937e+00,6.883512023118060208e-01
2.665751205061396512e+00,6.895407038967616975e-01
2.678381277039139530e+00,6.905736596369281832e-01
2.691011349016882104e+00,6.914661197929429237e-01
2.703641420994624678e+00,6.922341346254428096e-01
2.716271492972367252e+00,6.928937543950650646e-01
2.728901564950110270e+00,6.934610293624469124e-01
2.741531636927852844e+00,6.939520097882254657e-01
2.754161708905595418e+00,6.943827459330379481e-01
2.766791780883338436e+00,6.947692880575214724e-01
2.779421852861081010e+00,6.951276864223132623e-01
2.792051924838823584e+00,6.954739912880505415e-01
2.804681996816566159e+00,6.958242529153704226e-01
2.817312068794309177e+00,6.961945215649101293e-01
2.829942140772051751e+00,6.966008474973066633e-01
2.842572212749794325e+00,6.970592809731973594e-01
2.855202284727537343e+00,6.975858722532193301e-01
2.867832356705279917e+00,6.981966715980094662e-01
2.880462428683022935e+00,6.989077292682055464e-01
2.893092500660765509e+00,6.997350955244442394e-01
2.905722572638508527e+00,7.006948206273629909e-01
2.918352644616251101e+00,7.018029548375989135e-01
2.930982716593993676e+00,7.030755484157890089e-01
2.943612788571736694e+00,7.045286516225706119e-01
2.956242860549479268e+00,7.061783147185808351e-01
2.968872932527221842e+00,7.080405879644569023e-01
2.981503004504964416e+00,7.101315216208355929e-01
2.994133076482707434e+00,7.124671659483547970e-01
3.006763148460450008e+00,7.190285633058164372e-01
3.019393220438192582e+00,7.307230148550651894e-01
3.032023292415935600e+00,7.425682286087617046e-01
3.044653364393678174e+00,7.495810421990939387e-01
3.057283436371420748e+00,7.500000000000000000e-01
3.069913508349163322e+00,7.500000000000000000e-01
3.082543580326906341e+00,7.500000000000000000e-01
3.095173652304648915e+00,7.500000000000000000e-01
3.107803724282391489e+00,7.500000000000000000e-01
3.120433796260134507e+00,7.500000000000000000e-01
3.133063868237877081e+00,7.500000000000000000e-01
3.145693940215619655e+00,7.500000000000000000e-01
3.158324012193362229e+00,7.506852544782908199e-01
3.170954084171105247e+00,7.728826625150687635e-01
3.183584156148847821e+00,8.130559255099365501e-01
3.196214228126590395e+00,8.530277266758734545e-01
3.208844300104333414e+00,8.746207492258594174e-01
3.221474372082075988e+00,8.781080248620832807e-01
3.234104444059818562e+00,8.812669782000748242e-01
3.246734516037561136e+00,8.842171879394733480e-01
3.259364588015304154e+00,8.869673668646144149e-01
3.271994659993046728e+00,8.895262277598332545e-01
3.284624731970789302e+00,8.919024834094646526e-01
3.297254803948532320e+00,8.941048465978440607e-01
3.309884875926274894e+00,8.961420301093065977e-01
3.322514947904017912e+00,8.980227467281873821e-01
3.335145019881760486e+00,8.997557092388216438e-01
3.347775091859503060e+00,9.013496304255448344e-01
3.360405163837246079e+00,9.028132230726917395e-01
3.373035235814988653e+00,9.041551999645977000e-01
3.385665307792731671e+00,9.053842738855978345e-01
3.398295379770474245e+00,9.065091576200275947e-01
3.410925451748216819e+00,9.075385639522218773e-01
3.423555523725959393e+00,9.084812056665159119e-01
3.436185595703702411e+00,9.093457955472449283e-01
3.448815667681444541e+00,9.101410463787441563e-01
3.461445739659188003e+00,9.108756709453488254e-01
3.474075811636930577e+00,9.115583820313938324e-01
3.486705883614673152e+00,9.121978924212146289e-01
3.499335955592415726e+00,9.128029148991464448e-01
3.511966027570158300e+00,9.133821622495241765e-01
3.524596099547901762e+00,9.139443472566832760e-01
3.537226171525643448e+00,9.144981827049588619e-01
3.549856243503386910e+00,9.150523813786860527e-01
3.562486315481129484e+00,9.156156560621999674e-01
3.575116387458872058e+00,9.161967195398360575e-01
3.587746459436614632e+00,9.168042845959293308e-01
3.600376531414357206e+00,9.174470640148149059e-01
3.613006603392100669e+00,9.181337705808281235e-01
3.625636675369842354e+00,9.188731170783039914e-01
3.638266747347585817e+00,9.196738162915779613e-01
3.650896819325328391e+00,9.205445810049849298e-01
3.663526891303070965e+00,9.214941240028602376e-01
3.676156963280813539e+00,9.225311580695390035e-01
3.688787035258556113e+00,9.236643959893565681e-01
3.701417107236298687e+00,9.249025505466479391e-01
3.714047179214041261e+00,9.262543345257481242e-01
3.726677251191784723e+00,9.277284607109927972e-01
3.739307323169527297e+00,9.293336418867168547e-01
3.751937395147269871e+00,9.310785908372555264e-01
3.764567467125012445e+00,9.329720203469437090e-01
3.777197539102755464e+00,9.350226432001171872e-01
3.789827611080498038e+00,9.372391721811106358e-01
3.802457683058240612e+00,9.400587666649766749e-01
3.815087755035983630e+00,9.440076162432321505e-01
3.827717827013726648e+00,9.488730748339293530e-01
3.840347898991469222e+00,9.544350850283800369e-01
3.852977970969211796e+00,9.604735894178960676e-01
3.865608042946954370e+00,9.667685305937887552e-01
3.878238114924696944e+00,9.730998511473700763e-01
3.890868186902439518e+00,9.792474936699513410e-01
3.903498258880182981e+00,9.849914007528447479e-01
3.916128330857925555e+00,9.901115149873614962e-01
3.928758402835668129e+00,9.943877789648128962e-01
3.941388474813410703e+00,9.976001352765115904e-01
3.954018546791153277e+00,9.995285265137682229e-01
3.966648618768895851e+00,1.000000000000000000e+00
3.979278690746638425e+00,1.000000000000000000e+00
3.991908762724381887e+00,1.000000000000000000e+00
4.004538834702124461e+00,1.000000000000000000e+00
4.017168906679867035e+00,1.000000000000000000e+00
4.029798978657609609e+00,1.000000000000000000e+00
4.042429050635352183e+00,1.000000000000000000e+00
4.055059122613094758e+00,1.000000000000000000e+00
4.067689194590837332e+00,1.000000000000000000e+00
4.080319266568580794e+00,1.000000000000000000e+00
4.092949338546323368e+00,1.000000000000000000e+00
4.105579410524065942e+00,1.000000000000000000e+00
4.118209482501808516e+00,1.000000000000000000e+00
4.130839554479551090e+00,1.000000000000000000e+00
4.143469626457293664e+00,1.000000000000000000e+00
4.156099698435036238e+00,1.000000000000000000e+00
4.168729770412779700e+00,1.000000000000000000e+00
4.181359842390522275e+00,1.000000000000000000e+00
4.193989914368264849e+00,1.000000000000000000e+00
4.206619986346007423e+00,1.000000000000000000e+00
4.219250058323749997e+00,1.000000000000000000e+00
4.231880130301492571e+00,1.000000000000000000e+00
4.244510202279235145e+00,1.000000000000000000e+00
4.257140274256978607e+00,1.000000000000000000e+00
4.269770346234721181e+00,1.000000000000000000e+00
4.282400418212463755e+00,1.000000000000000000e+00
4.295030490190206329e+00,1.000000000000000000e+00
4.307660562167948903e+00,1.000000000000000000e+00
4.320290634145691477e+00,1.001508435374989681e+00
4.332920706123434051e+00,1.006156119734098242e+00
4.345550778101177514e+00,1.013451650796690640e+00
4.358180850078920088e+00,1.022895740786757157e+00
4.370810922056662662e+00,1.033989101928289633e+00
4.383440994034405236e+00,1.046232446445279685e+00
4.396071066012147810e+00,1.059126486561719149e+00
4.408701137989890384e+00,1.072171934501598978e+00
4.421331209967633846e+00,1.084869502488910786e+00
4.433961281945376420e+00,1.096719902747647080e+00
4.446591353923118994e+00,1.107223847501797698e+00
4.459221425900861568e+00,1.115882048975354701e+00
4.471851497878605031e+00,1.122195219392310150e+00
4.484481569856347605e+00,1.125785936257138742e+00
4.497111641834090179e+00,1.128433933602134731e+00
4.509741713811832753e+00,1.130887708857099216e+00
4.522371785789576215e+00,1.133156986307463754e+00
4.535001857767318789e+00,1.135251490238660121e+00
4.547631929745061363e+00,1.137180944936120541e+00
4.560262001722803937e+00,1.138955074685276792e+00
4.572892073700546511e+00,1.140583603771561094e+00
4.585522145678289085e+00,1.142076256480404561e+00
4.598152217656031659e+00,1.143442757097239415e+00
4.610782289633775122e+00,1.144692829907497877e+00
4.623412361611517696e+00,1.145836199196611505e+00
4.636042433589260270e+00,1.146882589250012074e+00
4.648672505567002844e+00,1.147841724353131809e+00
4.661302577544745418e+00,1.148723328791402487e+00
4.673932649522487992e+00,1.149537126850255664e+00
4.686562721500230566e+00,1.150292842815123562e+00
4.699192793477974028e+00,1.151000200971438181e+00
4.711822865455716602e+00,1.151668925604631077e+00
4.724452937433459176e+00,1.152308741000134251e+00
4.737083009411201751e+00,1.152929371443379925e+00
4.749713081388944325e+00,1.153540541219799653e+00
4.762343153366686899e+00,1.154151974614824994e+00
4.774973225344429473e+00,1.154773395913888390e+00
4.787603297322172935e+00,1.155414529402421397e+00
4.800233369299915509e+00,1.156085099365856017e+00
4.812863441277658083e+00,1.156794830089624249e+00
4.825493513255400657e+00,1.157553445859157870e+00
4.838123585233143231e+00,1.158370670959888882e+00
4.850753657210885805e+00,1.159256229677248617e+00
4.863383729188628379e+00,1.160219846296669521e+00
4.876013801166371842e+00,1.161271245103583816e+00
4.888643873144114416e+00,1.162420150383422612e+00
4.901273945121856990e+00,1.163676286421617911e+00
4.913904017099599564e+00,1.165049377503601935e+00
4.926534089077342138e+00,1.166549147914806683e+00
4.939164161055084712e+00,1.168185321940663490e+00
4.951794233032827286e+00,1.169967623866604356e+00
4.964424305010570748e+00,1.171905777978061725e+00
4.977054376988313322e+00,1.174009508560466930e+00
4.989684448966055896e+00,1.176288539899251973e+00
5.002314520943798470e+00,1.178752596279848852e+00
5.014944592921541044e+00,1.181411401987689569e+00
5.027574664899283619e+00,1.184274681308205679e+00
5.040204736877026193e+00,1.187352158526829182e+00
5.052834808854769655e+00,1.195218956564464641e+00
5.065464880832512229e+00,1.210250613009925758e+00
5.078094952810254803e+00,1.227601146563494838e+00
5.090725024787997377e+00,1.242412075543969152e+00
5.103355096765739951e+00,1.249824918270145524e+00
5.115985168743482525e+00,1.250000000000000000e+00
5.128615240721225099e+00,1.250000000000000000e+00
5.141245312698968561e+00,1.250000000000000000e+00
5.153875384676711136e+00,1.250000000000000000e+00
5.166505456654453710e+00,1.250000000000000000e+00
5.179135528632196284e+00,1.250000000000000000e+00
5.191765600609938858e+00,1.250000000000000000e+00
5.204395672587681432e+00,1.250000000000000000e+00
5.217025744565424006e+00,1.250000000000000000e+00
5.229655816543167468e+00,1.250000000000000000e+00
5.242285888520910042e+00,1.254513169981877896e+00
5.254915960498652616e+00,1.277881302577144051e+00
5.267546032476395190e+00,1.311946960467393897e+00
5.280176104454137764e+00,1.346197909467470311e+00
5.292806176431880338e+00,1.370121915392215062e+00
5.305436248409622912e+00,1.376374606848630444e+00
5.318066320387366375e+00,1.379128196323225586e+00
5.330696392365108949e+00,1.381714243426196864e+00
5.343326464342851523e+00,1.384138874890894266e+00
5.355956536320594097e+00,1.386408217450667113e+00
5.368586608298337559e+00,1.388528397838864947e+00
5.381216680276080133e+00,1.390505542788836868e+00
5.393846752253822707e+00,1.392345779033932862e+00
5.406476824231565281e+00,1.394055233307502251e+00
5.419106896209308744e+00,1.395640032342894354e+00
5.431736968187051318e+00,1.397106302873458938e+00
5.444367040164793892e+00,1.398460171632545546e+00
5.456997112142536466e+00,1.399707765353502831e+00
5.469627184120279040e+00,1.400855210769681447e+00
5.482257256098021614e+00,1.401908634614430271e+00
5.494887328075765076e+00,1.402874163621098624e+00
5.507517400053507650e+00,1.403757924523036493e+00
5.520147472031250224e+00,1.404566044053593199e+00
5.532777544008992798e+00,1.405304648946118062e+00
5.545407615986735372e+00,1.405979865933960626e+00
5.558037687964477946e+00,1.406597821750470656e+00
5.570667759942220520e+00,1.407164643128997028e+00
5.583297831919963983e+00,1.407686456802889952e+00
5.595927903897706557e+00,1.408169389505498303e+00
5.608557975875449131e+00,1.408619567970172071e+00
5.621188047853191705e+00,1.409043118930260352e+00
5.633818119830934279e+00,1.409446169119112913e+00
5.646448191808676853e+00,1.409834845270079073e+00
5.659078263786419427e+00,1.410215274116508377e+00
5.671708335764162889e+00,1.410593582391750145e+00
5.684338407741905463e+00,1.410975896829154363e+00
5.696968479719648037e+00,1.411368344162070132e+00
5.709598551697390612e+00,1.411777051123846993e+00
5.722228623675133186e+00,1.412208144447834268e+00
5.734858695652875760e+00,1.412667750867381722e+00
5.747488767630618334e+00,1.413161997115838897e+00
5.760118839608361796e+00,1.413697009926554893e+00
5.772748911586104370e+00,1.414278916032879696e+00
5.785378983563846944e+00,1.414913842168162406e+00
5.798009055541589518e+00,1.415607915065752787e+00
5.810639127519332092e+00,1.416367261458999938e+00
5.823269199497074666e+00,1.417198008081253624e+00
5.835899271474817240e+00,1.418106281665863166e+00
5.848529343452560703e+00,1.419098208946178552e+00
5.861159415430303277e+00,1.420179916655548880e+00
5.873789487408045851e+00,1.421357531527323470e+00
5.886419559385788425e+00,1.422637180294852088e+00
5.899049631363530999e+00,1.424024989691484278e+00
5.911679703341273573e+00,1.425527086450569358e+00
5.924309775319016147e+00,1.427149597305456652e+00
5.936939847296759609e+00,1.428898648989496145e+00
5.949569919274502183e+00,1.430780368236036937e+00
5.962199991252244757e+00,1.432800881778428570e+00
5.974830063229987331e+00,1.434966316350020588e+00
5.987460135207729905e+00,1.437282798684162533e+00
6.000090207185472480e+00,1.441227737787449614e+00
6.012720279163215054e+00,1.448261410454959375e+00
6.025350351140958516e+00,1.457390657969670267e+00
6.037980423118701090e+00,1.467606384881816828e+00
6.050610495096443664e+00,1.477899495741635594e+00
6.063240567074186238e+00,1.487260895099362212e+00
6.075870639051928812e+00,1.494681487505232109e+00
6.088500711029671386e+00,1.499152177509481376e+00
6.101130783007413960e+00,1.500000000000000000e+00
6.113760854985157422e+00,1.500000000000000000e+00
6.126390926962899997e+00,1.500000000000000000e+00
6.139020998940642571e+00,1.500000000000000000e+00
6.151651070918385145e+00,1.500000000000000000e+00
6.164281142896127719e+00,1.500000000000000000e+00
6.176911214873870293e+00,1.500000000000000000e+00
6.189541286851612867e+00,1.500000000000000000e+00
6.202171358829356329e+00,1.500000000000000000e+00
6.214801430807098903e+00,1.500000000000000000e+00
6.227431502784841477e+00,1.500000000000000000e+00
6.240061574762584051e+00,1.500000000000000000e+00
6.252691646740326625e+00,1.500000000000000000e+00
6.265321718718070088e+00,1.500000000000000000e+00
6.277951790695812662e+00,1.500000000000000000e+00
6.290581862673555236e+00,1.500000000000000000e+00
6.303211934651297810e+00,1.500000000000000000e+00
6.315842006629041272e+00,1.500296271341909682e+00
6.328472078606783846e+00,1.504801419458382750e+00
6.341102150584526420e+00,1.513678098369658942e+00
6.353732222562268994e+00,1.525565693105461751e+00
6.366362294540011568e+00,1.539103588695515779e+00
6.378992366517755030e+00,1.552931170169546071e+00
6.391622438495497605e+00,1.565687822557274789e+00
6.404252510473240179e+00,1.576012930888426755e+00
6.416882582450982753e+00,1.582545880192726129e+00
6.429512654428725327e+00,1.585600971761879752e+00
6.442142726406467901e+00,1.588224416214918611e+00
6.454772798384210475e+00,1.590559888521255960e+00
6.467402870361953937e+00,1.592631738669756380e+00
6.480032942339696511e+00,1.594464316649282232e+00
6.492663014317439085e+00,1.596081972448697872e+00
6.505293086295181659e+00,1.597509056056866772e+00
6.517923158272924233e+00,1.598769917462653289e+00
6.530553230250666807e+00,1.599888906654920229e+00
6.543183302228409381e+00,1.600890373622532392e+00
6.555813374206152844e+00,1.601798668354352584e+00
